service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1511,0,0,0,0,0,0,0,20170119,20171209
1512,0,0,0,0,0,0,0,20170119,20171209
1513,1,1,1,1,0,0,1,20170119,20171209
1514,0,0,0,0,0,0,0,20170119,20171209
1515,0,0,0,0,0,0,0,20170119,20171209
1516,1,1,1,1,1,0,0,20170119,20171209
1517,1,1,1,1,1,1,1,20170119,20171209
1518,1,1,1,1,1,1,1,20170119,20171209
1519,1,1,1,1,1,1,1,20170119,20171209
1520,1,1,1,1,1,1,1,20170119,20171209
1521,0,0,0,0,0,0,0,20170119,20171209
1522,0,0,0,0,0,1,1,20170119,20171209
1523,1,1,1,1,1,0,0,20170119,20171209
1524,1,1,1,1,1,1,1,20170119,20171209
1525,1,1,1,1,1,1,0,20170119,20171209
1526,1,1,1,1,1,1,1,20170119,20171209
1527,0,0,0,0,0,0,1,20170119,20171209
1528,1,1,1,1,1,0,0,20170119,20171209
1529,0,0,0,0,0,0,0,20170119,20171209
1530,0,0,0,0,0,0,0,20170119,20171209
1531,1,1,1,1,1,1,1,20170119,20171209
1532,1,1,1,1,0,0,1,20170119,20171209
1533,1,1,1,1,1,1,0,20170119,20171209
1534,0,0,0,0,0,0,1,20170119,20171209
1535,0,0,0,0,0,0,0,20170119,20171209
1536,1,1,1,1,1,1,1,20170119,20171209
1537,0,0,0,0,1,0,0,20170119,20171209
1538,1,1,1,1,0,1,1,20170119,20171209
1539,0,0,0,0,1,0,0,20170119,20171209
1540,1,1,1,1,0,1,1,20170119,20171209
1541,1,1,1,1,1,1,1,20170119,20171209
1542,0,0,0,0,0,0,0,20170119,20171209
1543,1,1,1,1,0,0,1,20170119,20171209
1544,0,0,0,0,0,0,0,20170119,20171209
1545,1,1,1,1,0,0,1,20170119,20171209
1546,1,1,1,1,0,0,1,20170119,20171209
1547,0,0,0,0,0,0,1,20170119,20171209
1548,0,0,0,0,0,1,0,20170119,20171209
1549,0,0,0,0,1,1,0,20170119,20171209
1550,1,1,1,1,1,1,0,20170119,20171209
1551,1,1,1,1,1,1,1,20170119,20171209
1552,0,0,0,0,0,1,1,20170119,20171209
1553,0,0,0,0,0,0,0,20170119,20171209
1554,1,1,1,1,1,1,1,20170119,20171209
1555,1,1,1,1,1,1,1,20170119,20171209
1556,1,1,1,1,0,0,1,20170119,20171209
1557,1,1,1,1,1,1,1,20170119,20171209
1558,0,0,0,0,0,0,0,20170119,20171209
1559,1,1,1,1,1,0,0,20170119,20171209
1560,1,1,1,1,1,1,1,20170119,20171209
1561,1,1,1,1,1,1,1,20170119,20171209
1562,1,1,1,1,1,0,1,20170119,20171209
1563,1,1,1,1,0,0,1,20170119,20171209
1564,1,1,1,1,0,0,1,20170119,20171209
1565,0,0,0,0,0,1,1,20170119,20171209
1566,0,0,0,0,0,1,0,20170119,20171209
1567,0,0,0,0,0,0,1,20170119,20171209
1568,1,1,1,1,1,1,0,20170119,20171209
1569,1,1,1,1,1,1,1,20170119,20171209
1570,1,1,1,1,1,1,1,20170119,20171209
1571,1,1,1,1,1,1,1,20170119,20171209
1572,1,1,1,1,1,1,1,20170119,20171209
1573,1,1,1,1,1,1,1,20170119,20171209
1574,1,1,1,1,0,0,1,20170119,20171209
1575,0,0,0,0,1,1,0,20170119,20171209
1576,1,1,1,1,0,0,1,20170119,20171209
1577,0,0,0,0,0,1,1,20170119,20171209
1578,1,1,1,1,1,0,1,20170119,20171209
1579,1,1,1,1,1,1,1,20170119,20171209
1580,1,1,1,1,1,0,0,20170119,20171209
1581,1,1,1,1,1,0,0,20170119,20171209
1582,1,1,1,1,1,1,1,20170119,20171209
1583,1,1,1,1,0,0,1,20170119,20171209
1584,0,0,0,0,1,1,0,20170119,20171209
1585,1,1,1,1,1,0,0,20170119,20171209
1586,1,1,1,1,1,0,0,20170119,20171209
1587,1,1,1,1,1,0,0,20170119,20171209
1588,0,0,0,0,0,1,0,20170119,20171209
1589,0,0,0,0,0,0,1,20170119,20171209
159,0,0,0,0,0,1,0,20170119,20171209
1590,1,1,1,1,1,0,0,20170119,20171209
1591,1,1,1,1,1,0,0,20170119,20171209
1592,1,1,1,1,1,1,1,20170119,20171209
1593,1,1,1,1,1,1,1,20170119,20171209
1594,1,1,1,1,1,0,0,20170119,20171209
1595,1,1,1,1,1,1,1,20170119,20171209
1596,1,1,1,1,1,1,1,20170119,20171209
1597,1,1,1,1,1,1,1,20170119,20171209
1598,1,1,1,1,1,1,1,20170119,20171209
1599,1,1,1,1,1,1,1,20170119,20171209
1600,1,1,1,1,1,1,1,20170119,20171209
1601,1,1,1,1,1,1,1,20170119,20171209
1602,1,1,1,1,1,1,1,20170119,20171209
1603,1,1,1,1,0,0,1,20170119,20171209
1604,0,0,0,0,0,0,0,20170119,20171209
1605,1,1,1,1,1,0,0,20170119,20171209
1606,0,0,0,0,0,0,0,20170119,20171209
1607,0,0,0,0,0,0,0,20170119,20171209
1608,1,1,1,1,1,1,1,20170119,20171209
1609,0,0,0,0,0,0,0,20170119,20171209
1610,1,1,1,1,1,1,1,20170119,20171209
1611,1,0,0,0,0,0,0,20170119,20171209
1612,0,1,1,1,1,0,0,20170119,20171209
1613,1,1,1,1,0,0,0,20170119,20171209
1614,1,1,1,1,1,1,0,20170119,20171209
1615,1,1,1,1,0,1,0,20170119,20171209
1616,1,1,1,1,1,1,0,20170119,20171209
1617,0,1,1,1,1,1,0,20170119,20171209
1618,1,0,0,0,0,0,1,20170119,20171209
1619,0,1,1,1,1,1,0,20170119,20171209
162,0,0,0,0,1,1,0,20170119,20171209
1620,1,1,1,1,1,1,1,20170119,20171209
1621,1,1,1,1,1,0,0,20170119,20171209
1622,0,0,0,0,0,0,0,20170119,20171209
1623,1,0,0,0,0,0,0,20170119,20171209
1624,0,0,0,0,1,0,0,20170119,20171209
1625,0,0,0,0,1,0,0,20170119,20171209
1626,1,0,0,0,0,0,1,20170119,20171209
1627,0,1,1,1,1,0,0,20170119,20171209
1628,0,0,0,0,0,1,0,20170119,20171209
1629,1,1,1,1,1,0,0,20170119,20171209
1630,1,0,0,0,0,1,0,20170119,20171209
1631,0,1,1,1,1,0,0,20170119,20171209
1632,1,0,0,0,0,0,1,20170119,20171209
1633,0,1,1,1,1,1,0,20170119,20171209
1634,1,1,1,1,0,0,1,20170119,20171209
1635,1,1,1,1,1,0,0,20170119,20171209
1636,0,0,0,0,0,0,1,20170119,20171209
1637,0,0,0,0,0,1,0,20170119,20171209
1638,0,0,0,0,0,0,1,20170119,20171209
1639,0,0,0,0,0,1,1,20170119,20171209
164,0,0,0,0,0,0,0,20170119,20171209
1640,1,1,1,1,1,1,1,20170119,20171209
1641,1,1,1,1,0,1,1,20170119,20171209
1642,0,0,0,0,1,1,1,20170119,20171209
1643,0,0,0,0,1,1,0,20170119,20171209
1644,1,1,1,1,1,1,1,20170119,20171209
1645,0,0,0,0,1,1,0,20170119,20171209
1646,1,1,1,1,0,1,1,20170119,20171209
1647,1,1,1,1,1,1,1,20170119,20171209
1648,1,1,1,1,0,1,1,20170119,20171209
1649,1,1,1,1,1,1,1,20170119,20171209
165,0,0,0,0,0,0,0,20170119,20171209
1650,0,0,0,0,1,1,0,20170119,20171209
1651,1,1,1,1,1,1,1,20170119,20171209
1652,1,1,1,1,0,0,1,20170119,20171209
1653,0,0,0,0,1,0,0,20170119,20171209
1654,1,1,1,1,1,0,0,20170119,20171209
1655,1,1,1,1,1,0,0,20170119,20171209
1656,1,1,1,1,1,1,1,20170119,20171209
1657,0,0,0,0,0,1,1,20170119,20171209
1658,0,0,0,0,0,0,0,20170119,20171209
1659,0,0,0,0,0,1,0,20170119,20171209
1660,0,0,0,0,0,0,1,20170119,20171209
1661,0,0,0,0,0,0,0,20170119,20171209
1662,0,0,0,0,1,1,0,20170119,20171209
1663,0,0,0,0,0,0,0,20170119,20171209
1664,1,1,1,1,1,1,0,20170119,20171209
1665,0,0,0,0,0,0,0,20170119,20171209
1666,0,0,0,0,0,0,0,20170119,20171209
1667,0,0,0,0,0,0,0,20170119,20171209
1668,1,1,1,1,0,0,1,20170119,20171209
1669,0,0,0,0,0,0,0,20170119,20171209
167,0,0,0,0,0,0,0,20170119,20171209
1670,0,0,0,0,0,0,0,20170119,20171209
1671,0,0,0,0,0,0,0,20170119,20171209
168,0,0,0,0,0,0,0,20170119,20171209
17,0,0,0,0,0,1,0,20170119,20171209
173,0,0,0,0,0,0,0,20170119,20171209
174,1,1,1,1,1,0,0,20170119,20171209
175,0,0,0,0,0,1,1,20170119,20171209
186,0,0,0,0,0,0,0,20170119,20171209
192,0,0,0,0,0,1,1,20170119,20171209
193,1,1,1,1,0,0,1,20170119,20171209
2,0,0,0,0,0,0,0,20170119,20171209
200,0,0,0,0,0,0,0,20170119,20171209
23,0,0,0,0,0,0,0,20170119,20171209
246,0,0,0,0,0,0,0,20170119,20171209
261,0,0,0,0,1,1,1,20170119,20171209
266,0,0,0,0,0,0,0,20170119,20171209
27,0,0,0,0,0,0,1,20170119,20171209
28,1,1,1,1,1,0,0,20170119,20171209
286,0,0,0,0,0,0,0,20170119,20171209
288,0,0,0,0,0,0,0,20170119,20171209
334,0,0,0,0,0,0,0,20170119,20171209
335,0,0,0,0,0,0,0,20170119,20171209
336,1,1,1,1,1,1,1,20170119,20171209
337,0,0,0,0,1,0,0,20170119,20171209
338,0,0,0,0,0,0,0,20170119,20171209
339,1,1,1,1,0,1,1,20170119,20171209
34,0,0,0,0,0,0,0,20170119,20171209
340,1,1,1,1,1,1,1,20170119,20171209
341,0,0,0,0,0,1,1,20170119,20171209
342,1,1,1,1,1,0,0,20170119,20171209
343,0,0,0,0,0,1,1,20170119,20171209
344,1,1,1,1,1,0,0,20170119,20171209
345,1,1,1,1,0,0,0,20170119,20171209
346,1,1,1,1,1,1,1,20170119,20171209
347,0,0,0,0,1,1,0,20170119,20171209
348,1,1,1,1,1,1,0,20170119,20171209
349,0,0,0,0,0,1,0,20170119,20171209
35,0,0,0,0,0,0,0,20170119,20171209
350,1,1,1,1,0,1,1,20170119,20171209
351,0,0,0,0,1,1,1,20170119,20171209
352,0,0,0,0,0,0,0,20170119,20171209
353,0,0,0,0,0,0,0,20170119,20171209
354,0,0,0,0,0,0,0,20170119,20171209
355,0,0,0,0,1,1,0,20170119,20171209
356,0,0,0,0,1,1,0,20170119,20171209
357,1,1,1,1,1,0,0,20170119,20171209
358,1,1,1,1,1,0,0,20170119,20171209
359,0,0,0,0,0,0,0,20170119,20171209
36,0,0,0,0,0,0,0,20170119,20171209
360,1,1,1,1,1,0,0,20170119,20171209
361,1,1,1,1,1,0,0,20170119,20171209
362,1,1,1,1,1,1,0,20170119,20171209
363,1,1,1,1,0,0,1,20170119,20171209
364,0,0,0,0,0,1,0,20170119,20171209
365,0,0,0,0,0,1,1,20170119,20171209
366,0,0,0,0,0,0,0,20170119,20171209
367,0,0,0,0,0,0,0,20170119,20171209
368,0,0,0,0,0,0,0,20170119,20171209
369,0,0,1,1,1,0,1,20170119,20171209
37,0,0,0,0,0,0,0,20170119,20171209
370,0,0,1,1,1,0,1,20170119,20171209
371,0,0,0,0,0,0,0,20170119,20171209
372,0,0,1,1,1,0,0,20170119,20171209
373,0,0,0,0,0,0,0,20170119,20171209
374,0,0,0,0,0,0,0,20170119,20171209
375,0,0,0,0,1,0,0,20170119,20171209
376,0,0,0,0,0,0,0,20170119,20171209
377,0,0,0,0,1,0,0,20170119,20171209
378,1,1,1,1,1,0,0,20170119,20171209
379,1,1,1,1,1,0,1,20170119,20171209
380,0,0,0,0,0,0,0,20170119,20171209
381,1,1,1,1,0,0,0,20170119,20171209
382,1,1,1,1,0,0,0,20170119,20171209
383,1,1,1,1,0,0,0,20170119,20171209
384,0,0,0,0,0,0,0,20170119,20171209
385,0,0,0,0,0,0,0,20170119,20171209
386,1,1,1,1,1,1,1,20170119,20171209
387,0,0,0,0,0,0,0,20170119,20171209
388,0,0,0,0,0,0,0,20170119,20171209
389,0,0,0,0,0,0,0,20170119,20171209
39,0,0,0,0,0,1,1,20170119,20171209
390,1,1,1,1,1,0,0,20170119,20171209
391,0,0,0,0,0,0,1,20170119,20171209
392,0,0,0,0,0,0,0,20170119,20171209
393,0,0,0,0,0,0,0,20170119,20171209
394,0,0,0,0,0,0,0,20170119,20171209
395,0,0,0,0,0,0,0,20170119,20171209
396,0,0,0,0,0,0,0,20170119,20171209
397,0,0,0,0,0,0,0,20170119,20171209
398,0,0,0,1,0,0,0,20170119,20171209
399,0,0,0,0,0,0,0,20170119,20171209
4,0,0,0,0,0,0,0,20170119,20171209
40,1,1,1,1,1,0,0,20170119,20171209
400,0,0,0,0,0,0,0,20170119,20171209
401,0,0,0,0,0,0,0,20170119,20171209
402,1,1,1,1,1,1,0,20170119,20171209
403,1,1,1,1,1,1,1,20170119,20171209
404,1,1,1,1,0,1,1,20170119,20171209
405,0,0,0,0,0,0,0,20170119,20171209
406,0,0,0,0,0,0,0,20170119,20171209
407,0,0,0,0,0,1,1,20170119,20171209
408,0,0,0,0,0,1,0,20170119,20171209
409,0,0,0,0,0,0,1,20170119,20171209
410,0,0,0,0,0,1,0,20170119,20171209
411,0,0,0,0,1,1,0,20170119,20171209
412,1,1,1,1,1,1,0,20170119,20171209
413,1,1,1,1,1,1,0,20170119,20171209
414,0,0,0,0,0,0,0,20170119,20171209
415,0,0,0,0,1,1,0,20170119,20171209
416,0,0,0,0,1,1,0,20170119,20171209
417,0,0,0,0,1,1,0,20170119,20171209
418,0,0,0,0,1,0,0,20170119,20171209
419,0,0,0,0,0,0,0,20170119,20171209
420,0,0,0,0,0,1,0,20170119,20171209
421,0,0,0,0,0,0,1,20170119,20171209
422,0,0,0,0,0,0,0,20170119,20171209
423,0,0,0,0,0,0,0,20170119,20171209
424,0,0,0,0,0,0,0,20170119,20171209
425,0,0,0,0,0,1,1,20170119,20171209
426,0,0,0,0,0,1,1,20170119,20171209
427,0,0,0,0,0,0,0,20170119,20171209
428,0,0,0,0,0,0,0,20170119,20171209
429,0,0,0,0,0,0,0,20170119,20171209
430,0,0,0,0,0,0,0,20170119,20171209
431,1,1,1,1,1,0,0,20170119,20171209
432,0,0,0,0,0,0,0,20170119,20171209
433,0,0,1,0,0,1,0,20170119,20171209
434,0,0,1,1,1,1,1,20170119,20171209
435,0,0,1,1,1,1,1,20170119,20171209
436,0,0,0,0,0,0,0,20170119,20171209
437,1,1,1,1,1,1,1,20170119,20171209
438,1,1,1,1,1,1,1,20170119,20171209
439,0,0,0,0,0,0,0,20170119,20171209
440,0,0,0,0,0,0,0,20170119,20171209
441,0,0,0,0,0,1,1,20170119,20171209
442,1,1,1,1,0,0,0,20170119,20171209
443,0,0,0,0,0,0,0,20170119,20171209
444,0,0,0,0,1,1,1,20170119,20171209
445,0,0,0,0,0,0,0,20170119,20171209
446,0,0,0,0,0,0,1,20170119,20171209
447,1,1,1,1,0,0,0,20170119,20171209
448,1,1,1,1,0,0,0,20170119,20171209
449,0,0,0,0,0,0,0,20170119,20171209
450,1,1,1,1,0,0,0,20170119,20171209
451,0,0,0,0,0,1,0,20170119,20171209
452,0,0,0,0,1,1,0,20170119,20171209
453,0,0,0,0,1,0,0,20170119,20171209
454,0,0,0,0,1,1,0,20170119,20171209
455,0,0,0,0,1,0,0,20170119,20171209
456,1,1,1,1,0,0,1,20170119,20171209
457,1,1,1,1,1,1,1,20170119,20171209
458,0,0,0,0,0,0,0,20170119,20171209
459,0,0,0,0,0,0,0,20170119,20171209
46,1,1,1,1,1,1,1,20170119,20171209
460,0,0,0,0,0,0,0,20170119,20171209
461,0,0,0,0,0,0,0,20170119,20171209
462,0,0,0,0,0,0,0,20170119,20171209
463,0,0,0,0,0,0,0,20170119,20171209
464,0,0,0,0,0,0,0,20170119,20171209
465,0,0,0,0,0,0,0,20170119,20171209
466,0,0,0,0,0,0,0,20170119,20171209
467,0,0,0,0,0,1,1,20170119,20171209
468,1,1,1,1,1,0,0,20170119,20171209
469,0,0,0,0,0,0,0,20170119,20171209
47,0,0,0,0,0,0,0,20170119,20171209
470,1,1,1,1,1,0,0,20170119,20171209
471,1,1,1,1,1,1,0,20170119,20171209
472,0,0,0,0,0,0,1,20170119,20171209
473,0,0,0,0,0,1,0,20170119,20171209
474,1,1,1,1,1,0,0,20170119,20171209
475,1,1,1,1,1,1,1,20170119,20171209
476,0,0,0,0,0,1,1,20170119,20171209
477,0,0,0,0,0,1,0,20170119,20171209
478,1,1,1,1,1,1,1,20170119,20171209
479,0,0,0,0,0,0,0,20170119,20171209
48,0,0,0,0,0,0,0,20170119,20171209
480,1,1,1,1,1,1,0,20170119,20171209
481,1,1,1,1,0,0,0,20170119,20171209
482,0,0,0,0,1,1,0,20170119,20171209
483,1,1,1,1,0,0,0,20170119,20171209
484,1,1,1,1,0,0,0,20170119,20171209
485,0,0,0,0,0,0,0,20170119,20171209
486,0,0,0,0,0,0,0,20170119,20171209
487,1,1,1,1,1,0,0,20170119,20171209
488,0,0,0,0,0,1,0,20170119,20171209
489,1,1,1,1,1,0,0,20170119,20171209
49,1,1,1,1,1,0,0,20170119,20171209
490,0,0,0,0,0,0,1,20170119,20171209
491,1,1,1,1,1,0,0,20170119,20171209
492,1,1,1,1,0,0,1,20170119,20171209
493,1,1,1,1,0,1,1,20170119,20171209
494,0,0,0,0,1,0,0,20170119,20171209
495,1,1,1,1,0,0,1,20170119,20171209
496,1,1,1,1,0,1,1,20170119,20171209
497,1,1,1,1,0,0,1,20170119,20171209
498,0,0,0,0,0,0,0,20170119,20171209
499,0,0,0,0,0,0,0,20170119,20171209
5,0,0,0,0,0,0,0,20170119,20171209
50,0,0,0,0,1,0,0,20170119,20171209
500,0,0,0,0,0,0,0,20170119,20171209
501,0,0,0,0,0,0,0,20170119,20171209
502,0,0,0,0,0,0,0,20170119,20171209
503,0,0,0,0,0,0,0,20170119,20171209
504,0,0,0,0,0,0,0,20170119,20171209
505,0,0,0,0,0,0,0,20170119,20171209
508,0,0,0,0,0,0,0,20170119,20171209
509,0,0,0,0,0,0,0,20170119,20171209
51,1,1,1,1,0,0,0,20170119,20171209
510,0,0,0,0,0,1,1,20170119,20171209
511,0,0,0,0,0,0,0,20170119,20171209
512,1,1,1,1,1,0,0,20170119,20171209
513,0,0,0,0,0,1,0,20170119,20171209
514,0,0,0,0,0,0,0,20170119,20171209
515,0,0,0,0,0,0,1,20170119,20171209
516,0,0,0,0,0,0,0,20170119,20171209
517,0,0,0,0,0,0,0,20170119,20171209
518,1,1,1,1,1,0,0,20170119,20171209
519,0,0,0,0,0,0,0,20170119,20171209
52,1,1,1,1,1,0,0,20170119,20171209
520,1,1,1,1,1,1,0,20170119,20171209
521,1,1,1,1,1,1,0,20170119,20171209
522,1,1,1,1,1,1,1,20170119,20171209
523,0,0,0,0,0,0,0,20170119,20171209
524,0,0,0,0,0,1,1,20170119,20171209
525,0,0,0,0,0,0,0,20170119,20171209
526,1,1,1,1,0,0,0,20170119,20171209
527,0,0,0,0,1,1,1,20170119,20171209
528,0,0,0,0,1,1,0,20170119,20171209
529,0,0,0,0,0,0,0,20170119,20171209
53,0,0,0,0,0,1,1,20170119,20171209
530,0,0,0,0,0,0,1,20170119,20171209
531,0,0,0,0,0,0,0,20170119,20171209
532,0,0,0,0,0,0,0,20170119,20171209
533,0,0,0,0,0,0,0,20170119,20171209
534,1,1,1,1,0,0,1,20170119,20171209
535,0,0,0,0,1,1,0,20170119,20171209
536,0,0,0,0,0,0,0,20170119,20171209
537,0,0,0,0,0,0,0,20170119,20171209
538,1,1,1,1,1,0,0,20170119,20171209
539,0,0,0,0,0,1,0,20170119,20171209
54,1,1,1,1,1,0,1,20170119,20171209
540,0,0,0,0,0,0,1,20170119,20171209
541,0,0,0,0,0,0,0,20170119,20171209
542,0,0,0,0,0,0,0,20170119,20171209
543,0,0,0,0,0,0,0,20170119,20171209
544,0,0,0,0,0,0,0,20170119,20171209
545,0,0,0,0,0,0,0,20170119,20171209
546,1,1,1,1,1,0,0,20170119,20171209
547,1,1,1,1,1,0,0,20170119,20171209
548,0,0,0,0,0,1,1,20170119,20171209
549,1,1,1,1,1,1,0,20170119,20171209
55,0,0,0,0,0,0,0,20170119,20171209
550,1,1,1,1,1,1,0,20170119,20171209
551,1,1,1,1,1,1,1,20170119,20171209
552,0,0,0,0,0,1,1,20170119,20171209
553,0,0,0,0,1,1,1,20170119,20171209
554,1,1,1,1,0,0,0,20170119,20171209
555,1,1,1,1,1,0,0,20170119,20171209
556,1,1,1,1,1,0,1,20170119,20171209
557,0,0,0,0,0,1,0,20170119,20171209
558,0,0,0,0,0,0,0,20170119,20171209
559,1,1,1,1,1,1,1,20170119,20171209
560,1,1,1,1,0,0,1,20170119,20171209
561,0,0,0,0,1,1,0,20170119,20171209
562,1,1,1,1,0,0,1,20170119,20171209
563,0,0,0,0,0,0,0,20170119,20171209
564,1,1,1,1,1,0,1,20170119,20171209
565,0,0,0,0,0,1,1,20170119,20171209
566,0,0,0,0,0,0,0,20170119,20171209
567,0,0,0,0,0,0,0,20170119,20171209
568,1,1,1,1,1,0,0,20170119,20171209
569,1,1,1,1,1,0,0,20170119,20171209
57,0,0,0,0,0,0,0,20170119,20171209
570,1,1,1,1,1,1,0,20170119,20171209
6,0,0,0,0,0,0,0,20170119,20171209
60,0,0,0,0,1,1,0,20170119,20171209
63,1,1,1,1,0,0,1,20170119,20171209
7,0,0,0,0,0,1,1,20170119,20171209
704,1,1,1,1,0,0,0,20170119,20171209
705,0,0,0,0,1,0,0,20170119,20171209
708,0,0,0,0,0,0,0,20170119,20171209
721,0,0,0,0,0,0,0,20170119,20171209
74,0,0,0,0,0,0,0,20170119,20171209
747,0,0,0,0,0,0,0,20170119,20171209
750,0,0,0,0,0,0,0,20170119,20171209
752,1,1,1,1,1,1,1,20170119,20171209
766,1,1,1,1,1,1,1,20170119,20171209
769,0,0,0,0,0,0,0,20170119,20171209
772,0,0,0,0,0,0,0,20170119,20171209
8,0,0,0,0,0,0,1,20170119,20171209
833,0,0,0,0,0,0,0,20170119,20171209
84,0,0,0,0,0,0,0,20170119,20171209
85,0,0,0,0,0,1,0,20170119,20171209
9,0,0,0,0,0,1,0,20170119,20171209
907,0,0,0,0,0,0,0,20170119,20171209
